m_id,m_name,m_type,start_year,end_year,is_adult,runtimes,imdb_rating,final_rating,genres
71002,Kodiak,tvSeries,1974-01-01,1974-01-01,False,30,7.2,7.2137931034482759,"Action, Adventure, Crime"
103359,Batman: The Animated Series,tvSeries,1992-01-01,1995-01-01,False,23,9.0,8.9999621100492569,"Action, Adventure, Animation"
380869,The Collector,tvSeries,2004-01-01,2006-01-01,False,60,6.6,6.6016826923076923,"Action, Drama, Fantasy"
784920,Power Rangers Operation Overdrive,tvSeries,2007-01-01,2007-01-01,False,22,5.5,5.4991145218417946,"Action, Adventure, Family"
1508179,Shonen ninja Kaze no Fujimaru,tvSeries,1964-01-01,1965-01-01,False,30,8.4,8.4024390243902439,"Action, Animation"
2390334,Chosen,tvSeries,2013-01-01,2014-01-01,False,22,7.3,7.2985154850268748,"Action, Drama, Thriller"
3018178,Riddler,tvSeries,2013-01-01,2013-01-01,False,1,6.2,6.1612903225806452,"Action, Animation"
3804114,Halo: Nightfall,tvMiniSeries,2014-01-01,2014-01-01,False,30,5.5,5.5012108631724615,"Action, Adventure, Mystery"
4196822,Danger Mouse,tvSeries,2015-01-01,2019-01-01,False,22,7.1,7.0941908713692946,"Action, Adventure, Animation"
5861134,Encantadia,tvSeries,2016-01-01,2017-01-01,False,30,6.7,6.7004608294930876,"Action, Adventure, Crime"
9426290,Queen Sono,tvSeries,2020-01-01,2020-01-01,False,43,6.1,6.0965763195435093,"Action, Crime, Drama"
14731794,Gukyeongi,tvSeries,2021-01-01,2021-01-01,False,70,7.1,7.0948306595365419,"Action, Comedy, Thriller"
27391405,Isekai Shoukan wa Nidome desu,tvSeries,2023-01-01,2023-01-01,False,24,5.4,5.3968468468468468,"Action, Adventure, Animation"
